YEARMADERANGE,WALLTYPE,ROOFTYPE,PRKGPLC1,BEDROOMS,DEFROST,SIZRFRI1,NUMFREEZ,HEATROOM,STOVENFUEL,NCOMBATH,NHAFBATH,OVENUSE,AMTMICRO,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,AGERFRI1,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,BATTOOLS,INTERNET,WELLPUMP,AQUARIUM,STEREO,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF,MEANAGE,LIGHTS
6,2,5,1,3,1,3,1,4,5,1,0,6,2,1,5,1,1,2,4,7,5,3,3,3,2,1,4,4,1,2,0,0,2,1,0,0,1,1,0,4,2,1,3,3,1,0,0,12,3,1,0,1,0,1,1,1,5,2,0,72500,0,1296,837,837,6907,0.58,28.5,7.5
1,3,4,1,4,0,4,0,7,5,2,0,1,2,0,18,1,0,1,3,3,3,3,2,3,2,1,4,4,1,2,0,0,0,1,0,0,0,0,0,7,2,1,0,0,0,0,0,12,3,1,0,0,0,1,1,6,2,5,0,52500,0,2132,1882,1882,8163,0.57,23,18.5
4,7,5,0,2,0,3,0,0,5,2,0,1,1,1,18,1,0,1,4,3,2,1,1,1,1,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,0,0,0,1,1,1,1,6,1,1,27500,0,810,0,0,4809,0.42,62,5
1,2,5,0,2,1,3,0,5,5,1,0,3,1,0,18,1,0,1,4,3,0,3,3,1,2,1,4,2,0,0,0,0,2,0,0,0,1,1,1,0,0,0,3,2,1,0,0,12,3,1,0,0,1,1,1,1,2,2,0,12500,1,1074,895,358,7854,0.53,21,10.5
4,2,5,0,3,1,4,1,6,1,2,0,3,4,1,5,0,1,1,1,3,0,13,3,4,3,1,12,8,1,2,0,0,6,1,0,0,0,0,0,0,0,0,4,3,1,0,0,22,3,1,0,1,0,0,1,2,3,5,0,57500,0,1529,1529,1019,14343,0.47,16.8,52.5
3,4,5,0,3,0,3,0,5,1,1,0,6,3,0,18,0,1,1,4,7,0,13,3,3,3,2,8,8,1,10,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,12,3,1,0,0,0,0,1,1,2,2,0,67500,0,1400,1400,0,6354,0.66,34,2.5
5,3,2,0,3,1,3,0,6,5,2,0,9,3,1,7,1,1,1,4,12,3,0,0,1,2,2,8,12,1,8,0,0,0,1,0,0,0,0,1,6,3,0,3,3,0,0,1,7,3,0,0,1,1,1,2,1,0,3,0,22500,1,840,840,840,5906,0.39,14,7.5
6,3,5,0,4,0,4,1,8,5,2,1,6,1,0,7,1,1,1,4,7,0,7,3,2,3,2,1,1,0,0,0,0,0,0,1,1,0,0,1,8,3,0,4,3,1,0,0,18,4,0,0,1,1,1,0,1,2,2,0,62500,0,1927,1927,1927,18703,0.56,59,0
3,3,5,1,3,0,2,0,7,1,2,0,6,3,1,7,0,1,2,4,3,3,7,3,2,2,1,4,8,1,5,0,0,0,1,1,0,1,0,0,0,0,0,3,1,1,0,1,12,4,1,0,0,0,0,1,1,5,4,0,47500,0,2250,1850,793,6517,0.6,32.5,56
6,2,5,1,3,1,4,1,10,2,1,0,6,3,1,7,0,0,1,4,17,0,7,2,3,3,2,2,1,1,1,0,0,2,0,1,0,0,0,1,10,2,0,2,1,1,0,1,12,4,0,0,0,1,0,1,1,2,2,0,42500,0,3360,2960,2960,9752,0.57,47.5,7.5
3,1,5,1,3,0,3,0,7,5,2,0,3,3,0,7,1,1,1,3,7,3,3,3,2,2,1,2,1,0,0,0,0,2,0,0,0,0,0,0,7,2,0,3,2,1,0,1,18,3,1,0,0,0,1,1,1,5,1,1,22500,0,1212,962,530,4965,0.51,65,21
6,4,1,1,4,1,4,1,6,5,3,0,3,3,0,5,1,1,1,5,7,5,7,3,3,2,2,4,8,2,2,1,0,6,1,0,0,0,0,1,6,3,1,5,3,0,0,0,22,3,0,0,1,1,1,1,1,5,1,0,110000,0,3510,3110,3110,16178,0.43,66,34
1,3,5,0,4,1,3,1,1,5,1,0,9,2,0,7,1,0,1,1,22,0,7,3,1,2,2,8,8,1,5,0,0,6,1,0,0,0,0,1,0,0,0,1,1,1,0,0,4,2,0,0,1,1,1,1,1,2,1,0,32500,0,784,784,784,9060,0.62,25,22.5
6,3,6,1,3,0,4,0,5,1,2,0,6,3,0,5,0,0,1,3,3,3,7,3,2,3,2,8,8,2,2,2,0,6,0,0,0,0,0,0,5,3,1,2,3,0,0,0,7,3,1,0,1,0,0,0,1,5,2,0,77500,0,1872,1472,1472,6964,0.41,30.5,29
6,3,6,0,3,0,3,1,6,5,2,0,9,3,0,10,1,1,1,3,12,3,7,3,4,3,2,4,8,3,10,1,1,0,1,1,0,1,0,1,6,3,0,4,2,1,0,0,12,4,0,0,0,1,1,1,1,2,5,0,47500,0,1216,1216,1216,17730,0.47,21.2,23.5
6,2,2,0,3,0,4,0,0,2,2,0,0,2,0,18,0,1,1,4,2,0,13,3,1,2,1,8,2,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,1,0,0,0,7,3,0,0,0,0,0,0,1,1,6,0,32500,1,1184,0,1184,10169,0.44,16.333333333333332,2.5
7,3,5,1,3,1,4,0,6,5,2,0,9,3,1,7,1,1,1,3,12,3,3,3,2,3,3,8,8,1,2,0,0,2,1,0,0,0,0,0,6,1,1,2,3,0,0,0,12,4,1,0,0,0,1,1,1,5,4,0,42500,0,1984,1358,1358,9202,0.45,15.5,5
5,4,5,0,2,0,4,0,5,5,1,0,9,4,0,10,1,1,3,4,7,5,0,1,1,2,1,2,2,2,10,10,0,10,1,0,0,0,0,0,0,0,0,2,3,1,0,1,4,4,1,0,0,0,1,1,1,3,2,0,37500,0,1039,1039,416,3633,0.63,24.5,10.5
3,3,5,0,3,1,4,0,5,5,1,0,16,3,0,10,1,1,2,4,17,3,7,3,2,2,2,4,8,1,2,0,0,2,1,0,0,1,0,0,0,0,0,2,1,1,1,0,12,2,0,0,0,0,1,1,1,3,3,0,52500,0,1728,960,0,12085,0.58,42.333333333333336,16
1,3,5,0,4,1,4,1,7,1,2,0,6,2,1,10,0,1,2,3,7,5,13,3,6,3,2,8,8,5,5,2,5,6,1,0,0,1,1,0,0,0,0,7,1,1,0,0,22,3,1,0,1,0,0,0,1,4,5,0,82500,0,2928,2040,1457,24081,0.51,16,72.5
7,7,2,1,4,0,4,0,7,-2,4,1,1,1,1,7,0,1,2,3,7,5,7,2,3,2,4,2,2,3,5,2,1,0,1,1,0,1,0,1,7,3,1,0,0,0,1,1,18,4,1,0,1,1,1,0,1,5,4,0,130000,0,6997,6347,6347,53287,0.4,36,7.5
2,1,5,0,3,1,4,1,6,5,2,0,16,2,1,7,1,1,2,4,3,5,13,3,4,2,2,8,8,0,0,0,0,2,0,0,0,0,0,0,6,2,1,5,3,1,0,0,18,4,1,0,1,0,1,0,1,2,2,1,27500,0,2004,2004,2004,22292,0.42,65,0
8,5,5,1,4,1,5,0,8,5,4,0,6,4,0,7,1,1,2,3,3,2,7,3,3,3,2,8,4,1,2,0,0,0,1,0,0,0,0,1,8,3,0,4,1,0,1,0,12,4,0,0,1,1,1,1,1,3,2,0,130000,0,1813,1413,1413,13166,0.42,55.5,38
2,3,5,0,3,0,4,0,7,5,1,0,9,3,0,7,1,1,1,4,2,0,7,3,3,2,3,4,2,1,5,0,0,0,1,0,0,1,1,1,7,2,0,5,1,0,0,0,12,4,0,0,1,1,1,1,1,2,5,0,37500,1,1769,1769,1189,9450,0.64,12.6,8
7,2,6,1,3,0,3,0,7,5,2,1,1,1,0,7,1,0,1,5,2,0,3,3,2,2,1,2,4,1,1,0,0,2,1,0,0,0,0,1,7,3,0,1,1,0,0,0,7,4,1,0,0,1,1,1,1,1,4,0,47500,0,1687,1287,1287,10218,0.45,26.25,5
5,4,5,0,1,0,3,1,3,1,1,0,6,0,0,10,0,0,1,4,3,0,0,0,1,1,1,8,8,1,10,0,0,2,1,0,0,0,0,1,0,0,0,2,2,1,0,1,4,4,1,0,0,1,0,1,1,6,1,0,32500,0,720,720,480,3421,0.51,52,26.5
4,3,5,0,2,1,4,0,6,5,2,0,1,4,0,10,1,0,2,3,3,0,7,3,2,2,1,8,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,1,12,4,1,0,0,0,1,1,1,1,8,0,37500,1,1464,1464,0,8450,0.42,26.125,21
5,2,5,0,1,1,3,0,1,-2,1,0,0,1,1,18,1,0,1,4,2,3,7,3,2,3,2,2,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,4,3,0,0,1,1,1,0,4,4,2,1,52500,0,673,224,0,3885,0.49,65,34.5
6,1,5,1,5,1,4,0,13,1,4,1,6,3,1,7,1,0,2,4,3,5,7,3,5,2,1,1,2,4,5,1,1,2,1,0,0,0,0,0,6,3,1,7,3,0,0,0,30,4,1,0,1,0,1,1,1,6,5,0,57500,0,7638,7238,4425,10998,0.39,26.2,36.5
6,3,3,0,3,1,4,1,5,2,1,0,9,3,1,1,0,1,1,4,12,0,7,0,1,2,1,2,2,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,3,1,0,0,12,4,0,0,0,1,0,2,1,1,5,0,27500,1,980,980,196,701,0.61,20.2,15.5
7,1,5,0,1,0,3,0,2,1,1,0,1,0,1,10,0,0,1,1,12,0,0,0,1,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,4,1,0,0,0,0,0,1,1,1,1,8750,1,478,478,0,1887,0.56,77,42.5
2,4,5,0,1,1,3,0,1,1,1,0,16,2,0,7,0,0,1,4,7,0,0,0,2,2,1,8,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,2,1,0,1,1,0,0,0,4,1,1,12500,1,590,197,0,5398,0.44,56,2.5
3,4,5,1,3,0,4,0,0,1,1,0,1,0,1,0,0,0,1,3,7,0,3,3,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,1,0,0,0,0,0,1,1,1,1,12500,1,1516,0,0,3499,0.42,60,2.5
1,3,6,0,3,1,4,1,7,5,2,1,3,2,0,7,1,0,2,5,12,3,7,3,1,1,1,1,1,1,1,0,0,2,1,0,0,0,1,0,7,2,0,8,2,1,0,1,22,4,0,0,1,0,1,1,1,2,2,0,130000,0,3574,3574,3574,18961,0.56,47,5
6,4,1,1,3,1,4,1,4,5,2,0,6,2,1,5,1,1,1,3,3,3,7,3,3,3,2,2,4,2,5,5,0,0,1,0,1,0,0,1,4,3,1,4,3,0,0,1,4,3,0,0,1,1,1,1,1,3,3,0,92500,0,1400,1000,1400,17309,0.49,31.333333333333332,18.5
2,6,5,1,4,1,4,1,8,1,2,0,9,3,0,7,0,1,1,3,22,3,7,3,2,3,2,4,4,1,2,0,0,6,1,0,0,1,1,0,8,2,1,6,2,1,0,0,30,4,1,0,0,0,0,1,1,5,2,0,110000,0,2920,1112,1112,7468,0.59,63,0
1,1,3,0,1,0,2,0,3,5,1,0,1,2,0,5,1,1,1,4,2,0,0,0,2,3,4,2,8,1,1,0,0,2,1,0,0,1,0,1,0,0,0,2,3,1,0,0,7,2,0,0,1,1,1,1,1,3,1,0,47500,0,534,534,356,10992,0.47,49,30.5
2,4,3,1,3,1,3,2,7,5,2,0,9,3,0,7,1,1,1,3,3,8,7,3,3,2,2,4,12,1,2,0,0,2,1,0,0,0,0,1,7,1,1,6,3,1,0,0,7,3,0,0,1,1,1,1,1,1,5,0,57500,0,2018,1618,1618,21358,0.56,24.4,54
3,4,5,0,1,0,3,0,2,1,1,0,0,1,1,5,0,0,1,4,3,0,3,3,2,3,3,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,3,1,0,0,0,0,1,1,2,2,0,52500,0,580,290,290,3672,0.44,34.5,2.5
4,2,5,1,4,1,4,0,7,5,2,1,9,4,0,10,1,1,2,3,12,5,7,3,3,3,4,4,12,3,8,5,1,2,1,0,0,1,0,0,7,3,1,0,0,1,0,1,12,3,1,0,0,0,1,2,1,4,3,0,37500,0,2688,1388,1388,10526,0.6,19,23.5
4,2,6,0,3,0,4,0,5,-2,2,0,6,2,0,5,0,1,2,5,2,3,7,3,2,3,2,4,4,3,10,10,1,6,1,1,0,0,0,1,5,3,0,4,2,1,0,0,12,3,0,0,1,1,1,1,1,8,2,0,130000,0,1872,1872,1872,15654,0.44,54,10
5,3,5,0,4,0,4,0,7,-2,2,1,16,2,0,10,1,1,3,3,7,0,13,3,3,3,3,8,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,4,1,0,1,0,1,1,2,2,6,0,6250,1,2496,1872,0,10109,0.62,14.166666666666666,67.5
1,1,5,0,3,1,5,0,8,1,1,0,6,2,0,7,0,0,3,3,2,3,13,2,4,3,3,4,4,2,2,2,0,6,1,0,0,1,0,0,6,3,0,4,3,0,0,0,4,3,1,0,0,0,0,1,1,5,2,1,130000,0,2632,2157,877,13667,0.45,55,0
5,3,5,1,2,1,4,0,4,5,2,0,1,3,0,5,1,0,1,3,7,0,3,3,1,3,4,4,8,1,2,0,0,2,1,0,0,1,0,1,4,3,0,2,3,1,1,0,4,3,0,0,1,1,1,1,1,4,1,0,52500,0,1920,1013,1013,11417,0.39,43,13
4,3,5,1,1,1,3,0,4,5,1,0,6,2,0,7,1,1,1,1,7,0,3,3,2,2,2,4,4,3,2,2,1,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,7,4,0,0,1,1,1,0,3,2,2,1,67500,0,2220,1570,0,13995,0.62,58.5,7.5
3,1,5,0,2,0,2,0,4,5,1,0,1,4,1,5,1,0,1,4,7,0,3,3,2,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,3,1,0,0,0,1,0,1,1,1,1,12500,1,754,754,188,4516,0.55,74,5
2,4,5,0,2,0,4,0,5,1,1,0,1,2,0,7,0,0,2,4,12,8,7,3,2,2,2,8,8,0,0,0,0,2,0,0,0,0,0,0,5,2,0,1,1,1,0,0,12,3,1,0,0,0,0,2,1,3,2,1,42500,0,2184,2184,2184,7006,0.58,72.5,16
5,3,6,0,2,1,3,0,5,2,2,0,3,2,1,5,0,1,1,4,2,0,3,3,2,3,2,4,4,2,2,1,0,6,1,1,0,0,0,1,0,0,0,1,1,0,0,0,7,2,0,0,0,1,0,1,1,2,2,0,130000,0,2548,1274,0,2376,0.54,25,0
5,3,3,0,2,0,3,1,4,5,1,0,16,0,1,10,1,1,1,4,17,0,3,0,2,1,1,2,2,0,0,0,0,6,0,1,0,0,0,1,0,0,0,1,2,1,0,0,7,2,0,0,0,1,1,1,1,2,2,0,22500,0,1824,1824,0,5982,0.45,38.5,42.5
4,2,2,0,2,0,3,0,3,5,1,0,16,3,1,10,1,0,1,4,7,0,0,0,3,2,1,2,12,2,2,1,0,0,1,0,0,1,0,0,0,0,0,5,1,0,0,0,12,4,1,0,1,0,1,1,2,4,3,0,62500,0,1377,826,551,8141,0.58,28.333333333333332,5
5,1,5,0,3,1,3,1,7,5,2,0,9,3,1,5,1,1,2,4,7,8,13,2,5,2,2,4,8,2,10,2,0,6,1,0,0,0,1,1,7,3,1,6,2,0,0,0,12,3,0,0,1,1,1,0,1,2,6,1,37500,1,1664,1664,1664,38805,0.43,20.166666666666668,110
3,4,6,1,4,0,5,0,7,5,2,0,3,3,0,7,1,1,2,4,7,3,3,3,3,2,2,4,2,2,2,1,0,6,1,0,0,0,0,0,7,1,1,2,1,1,0,1,12,3,1,0,0,0,1,0,1,2,2,1,62500,0,2917,2202,2202,8509,0.34,80.5,10.5
8,4,5,1,6,1,4,1,9,-2,4,1,1,2,0,10,0,0,3,4,3,8,7,3,5,3,2,2,4,1,2,0,0,6,1,0,0,0,1,1,9,2,1,8,1,0,1,0,22,4,1,0,1,1,0,1,2,8,5,0,130000,0,6280,4474,4474,29149,0.47,29.4,44.5
6,4,5,1,4,1,5,0,9,5,2,1,1,4,0,5,1,0,1,3,2,2,3,3,6,2,1,8,4,1,1,0,0,6,1,0,0,0,0,0,9,3,0,2,3,0,0,1,12,3,1,0,1,0,1,0,1,3,1,0,87500,0,3564,3164,3164,11299,0.38,60,28.5
1,2,6,1,3,0,4,1,5,-2,1,0,9,2,0,7,0,1,1,4,22,3,3,3,5,3,1,8,8,1,2,0,0,10,1,0,0,0,0,0,0,0,0,2,3,1,0,0,18,2,1,0,1,0,0,1,1,2,2,1,57500,0,1350,917,367,8353,0.42,50,0
5,2,1,1,1,0,4,0,4,-2,2,0,1,4,0,3,1,1,1,3,2,3,3,3,1,2,1,2,4,0,0,0,0,2,0,0,0,0,0,1,4,3,1,1,2,1,0,1,18,4,0,0,1,1,1,0,1,3,2,1,6250,1,2254,1440,1440,4208,0.49,54.5,5
7,3,5,1,3,0,4,0,5,1,2,0,6,2,0,5,0,1,1,4,7,0,3,3,2,2,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,1,0,1,0,0,0,1,2,1,1,6250,1,1056,576,115,5789,0.56,62,5
8,3,5,0,2,0,3,1,3,5,2,0,9,4,0,3,1,0,1,4,3,0,3,3,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,0,0,0,0,7,3,0,0,1,1,1,0,2,2,1,0,8750,1,932,699,932,11326,0.4,49,5
1,2,3,1,2,0,4,1,4,2,1,0,3,2,0,10,0,0,2,3,17,0,3,2,2,3,2,8,4,1,2,0,0,2,1,0,0,1,0,0,0,0,0,2,1,0,0,0,12,2,0,0,0,0,0,1,1,2,2,0,57500,0,4600,3150,1575,9126,0.57,47,60
7,3,6,1,3,1,3,1,6,5,2,0,6,3,0,7,1,1,2,3,12,8,7,3,4,3,2,4,4,1,2,0,0,2,1,1,0,1,0,1,6,1,0,3,2,1,0,1,7,4,1,0,1,1,1,1,1,7,2,0,72500,0,4368,1982,1982,11552,0.56,57.5,38.5
1,3,5,0,1,0,3,0,6,5,1,0,3,2,0,5,1,0,1,3,3,1,3,3,2,2,1,4,8,1,2,0,0,2,1,0,0,0,0,0,6,3,1,3,2,0,0,0,12,3,1,0,1,0,1,0,1,2,1,1,22500,0,1035,1035,1035,5700,0.55,57,10.5
1,2,6,0,4,0,4,1,6,5,2,0,9,3,1,7,1,0,2,3,2,5,7,3,4,2,2,4,8,1,2,0,0,2,1,0,0,1,0,0,6,3,0,5,3,1,0,0,22,4,1,0,0,0,1,1,1,5,5,0,47500,0,2472,1470,1470,12995,0.59,25.6,34
7,4,1,1,5,0,4,0,8,1,3,0,0,1,0,10,0,1,1,3,7,1,7,3,3,3,2,4,4,1,2,0,0,6,1,0,0,1,0,0,0,0,0,7,2,0,0,1,18,4,1,0,0,0,0,1,4,5,4,1,52500,0,4536,4136,0,7297,0.41,38,10.5
3,1,5,0,1,1,3,0,3,5,1,0,6,4,0,5,1,1,1,4,12,0,0,0,1,2,1,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,1,1,0,1,1,1,1,2000,1,527,527,352,6684,0.47,67,5
8,3,5,1,4,1,5,1,16,-2,3,1,1,2,1,10,1,0,3,3,7,8,1,3,5,3,4,4,8,3,2,5,1,2,1,1,0,1,0,0,4,1,1,3,1,0,0,1,30,3,0,0,1,0,1,0,2,2,3,1,130000,0,8017,7367,3793,19875,0.49,43.666666666666664,36.5
7,1,5,0,3,0,4,0,5,5,2,0,1,4,0,18,1,0,1,4,12,3,0,0,2,2,3,12,12,0,0,0,0,2,0,0,0,0,0,1,5,1,0,3,2,0,0,0,7,2,0,0,1,1,1,0,2,2,2,0,17500,1,1323,1323,1323,16912,0.54,24,16
3,1,5,1,4,1,3,1,8,5,2,1,6,3,0,7,1,1,1,4,12,8,16,3,6,2,1,2,4,2,2,2,0,2,1,0,0,0,0,0,8,1,1,0,0,1,0,1,12,3,1,0,1,0,1,1,1,3,4,0,110000,0,1786,1386,1386,8359,0.54,32.5,5
6,3,5,0,3,0,4,0,6,1,2,0,6,4,0,5,0,1,1,3,7,0,3,3,3,3,3,4,4,2,8,8,0,2,1,0,0,0,0,0,6,1,1,4,2,0,0,1,18,3,1,0,1,0,0,1,2,5,1,0,87500,0,1974,1974,1974,7877,0.58,29,23.5
4,3,5,0,5,1,4,2,9,5,3,0,1,4,0,18,1,1,1,3,7,8,16,3,7,3,3,2,8,2,2,8,0,6,1,0,0,1,0,0,0,0,0,3,1,0,1,1,7,4,1,1,1,0,1,1,1,4,6,0,37500,1,1764,1764,0,23960,0.62,34,42
3,4,5,0,1,1,3,0,1,1,1,0,6,4,1,18,0,0,1,4,12,1,0,0,1,1,1,4,8,1,10,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,4,2,1,0,0,0,0,1,1,3,4,0,8750,1,673,224,224,2823,0.38,25,10.5
6,1,6,1,4,1,4,0,9,5,3,0,9,2,0,7,1,1,1,3,12,8,3,3,3,3,2,4,4,1,1,0,0,0,1,1,0,1,1,1,9,3,0,3,0,0,1,0,22,3,0,0,1,1,1,1,1,2,3,0,110000,0,3327,3327,3327,28681,0.49,29.666666666666668,26
1,4,5,1,4,0,4,0,12,-2,3,2,9,2,0,5,0,1,2,3,3,5,7,3,5,2,2,2,4,2,10,2,0,0,1,0,0,1,0,0,12,1,0,0,0,1,0,0,30,4,1,0,1,0,1,1,1,6,3,0,110000,0,5250,4175,4175,15108,0.64,46.666666666666664,30
1,1,5,0,4,0,3,0,6,5,2,1,6,4,0,18,1,0,1,4,3,5,3,3,5,2,1,4,2,4,5,5,5,2,1,0,0,0,0,1,6,3,0,5,2,0,0,0,18,3,0,0,1,1,1,0,2,2,4,0,2000,1,1041,1041,1041,18697,0.5,19.75,52
2,1,5,1,3,0,3,1,6,5,2,0,1,1,0,5,1,1,1,4,12,2,3,2,1,3,2,2,2,1,1,0,0,0,1,0,0,1,0,1,0,0,0,2,2,0,0,1,12,3,0,0,0,1,1,1,1,4,1,0,52500,0,1785,1535,256,7204,0.54,56,13
4,4,5,0,1,0,3,0,3,5,1,0,1,1,0,3,1,1,1,4,7,0,0,0,2,2,1,8,2,1,2,0,0,2,0,0,0,0,0,0,3,1,1,1,3,0,0,1,4,3,1,0,1,0,1,2,1,2,1,0,12500,1,621,621,621,4137,0.5,55,2.5
4,2,5,0,1,1,3,0,2,5,1,0,6,2,0,10,1,1,1,4,7,0,0,0,2,3,2,4,8,1,1,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,3,0,0,1,1,1,1,1,2,2,0,47500,0,306,306,0,6413,0.51,47,10.5
6,1,5,1,3,1,4,0,6,5,2,0,9,2,0,5,1,1,1,3,2,3,3,3,3,3,2,4,8,2,10,5,0,6,1,0,0,1,0,0,6,3,0,3,2,1,0,0,12,3,1,0,0,0,1,1,2,4,4,0,72500,0,2262,1862,1862,14909,0.51,36.5,33
5,4,5,0,2,1,4,0,5,1,2,0,6,3,0,5,0,1,1,4,7,1,7,3,3,2,1,8,4,3,2,2,1,2,1,0,0,1,0,0,5,3,0,2,3,0,0,0,7,4,1,0,0,0,0,1,2,7,3,0,52500,0,1603,1603,1603,8615,0.46,28.666666666666668,46.5
4,1,5,1,2,1,5,0,8,5,2,0,1,2,0,7,1,1,1,2,2,0,1,3,2,3,2,8,8,2,2,1,0,10,1,0,0,1,0,0,0,0,0,1,1,1,0,0,18,4,1,0,0,0,1,0,1,2,2,1,22500,0,2800,2550,159,4467,0.6,63,13
1,7,6,1,3,0,3,0,3,-2,2,0,6,2,0,10,0,1,1,4,3,0,3,3,5,1,1,4,8,2,1,1,0,0,0,0,0,1,0,0,0,0,0,5,2,1,0,0,22,2,1,0,1,0,1,1,1,2,3,1,47500,0,3194,1262,421,8469,0.46,49.666666666666664,34
4,1,5,0,3,1,4,0,7,5,3,1,6,2,1,5,1,1,2,4,7,3,3,3,3,2,2,4,4,2,10,2,0,2,1,0,0,0,0,1,7,3,1,0,0,1,0,0,7,3,0,0,1,1,1,1,1,6,2,0,130000,0,2139,2139,2139,15373,0.47,33.5,47.5
4,3,5,1,4,1,5,1,9,1,3,0,9,2,0,7,0,1,1,4,7,3,7,3,4,3,1,4,8,2,5,1,0,10,1,0,1,0,0,0,9,1,1,1,1,1,0,1,22,2,1,0,0,0,0,1,1,4,2,0,72500,0,3680,3030,3030,8462,0.57,30,59.5
2,4,5,0,2,0,3,0,4,1,1,0,6,2,1,5,0,1,1,4,7,2,1,3,1,2,1,8,8,1,2,0,0,6,1,0,0,0,0,0,0,0,0,2,1,0,0,0,12,3,1,0,0,0,0,0,4,3,1,0,2000,1,663,663,0,3161,0.38,65,10.5
5,3,2,1,3,1,4,0,6,1,2,1,6,3,1,10,0,0,1,3,3,5,7,3,4,3,1,4,4,4,5,2,1,10,1,0,0,1,0,0,6,3,1,5,3,0,0,0,12,4,1,0,0,0,0,1,1,4,4,0,77500,0,2066,1816,1816,14529,0.45,31.25,69
5,1,2,1,3,1,3,0,6,5,2,0,3,3,1,10,1,0,1,1,3,5,3,3,2,3,2,2,2,1,5,0,0,0,1,0,0,0,0,0,6,1,1,3,1,1,0,1,12,3,1,0,0,0,1,2,1,2,3,0,47500,0,1764,1364,1364,8222,0.61,18.666666666666668,5
4,3,5,0,3,1,4,0,6,5,1,0,16,4,0,7,1,1,1,3,3,0,7,0,3,2,3,4,8,2,5,5,0,6,1,0,0,1,0,1,8,1,0,3,3,0,0,0,12,4,0,0,1,1,1,2,1,3,4,0,17500,1,1662,1385,1662,10288,0.53,25.25,26.5
4,4,1,1,3,0,3,0,0,1,2,0,1,4,1,1,0,0,1,4,2,0,1,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,1,0,0,0,0,0,1,5,1,1,8750,1,2290,0,0,1355,0.39,66,5
4,2,6,1,4,0,5,1,10,1,2,2,6,4,0,10,0,1,1,5,2,8,3,3,3,3,3,4,8,2,2,2,0,6,1,0,0,0,0,0,10,3,1,6,1,1,0,0,22,3,1,0,0,0,0,0,1,5,3,0,130000,0,4264,3864,3864,24698,0.46,57.333333333333336,30.5
2,1,6,0,2,0,3,1,4,5,1,0,1,2,0,10,1,1,2,5,22,0,3,3,2,2,1,2,2,1,1,0,0,2,1,0,0,0,0,0,4,2,0,4,3,1,0,0,12,2,1,0,0,0,1,0,1,3,2,1,32500,0,3432,2288,2288,4702,0.44,75.5,23.5
5,1,5,0,2,0,3,0,5,5,1,1,3,4,1,7,1,1,1,4,7,2,0,0,1,2,2,4,4,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,0,0,0,1,1,1,5,1,0,130000,0,1365,1365,819,2422,0.49,42,0
1,3,6,0,4,1,3,1,7,5,1,0,6,2,1,3,1,0,1,4,3,0,1,3,2,2,1,2,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,1,1,0,0,12,4,0,0,0,1,1,0,1,1,1,1,12500,1,4085,4085,0,6999,0.53,81,67.5
6,3,3,0,2,0,3,0,3,1,2,0,3,4,0,5,0,1,1,4,12,5,3,3,2,2,1,8,8,1,1,0,0,0,1,0,0,0,1,0,3,3,1,1,1,1,0,0,7,3,1,0,1,0,0,1,1,4,1,0,27500,0,855,855,855,7786,0.61,54,5
